DS_CARGO;NR_CANDIDATO;NM_CANDIDATO
DEPUTADO DISTRITAL;25025;ILENE BATISTA DE ALMEIDA
DEPUTADO DISTRITAL;77222;EDSON CORDEIRO LIMA
DEPUTADO DISTRITAL;25444;RUBENS CESAR BRUNELLI JUNIOR
DEPUTADO DISTRITAL;70770;SANDRA GONALVES DA SILVA
DEPUTADO DISTRITAL;70707;ELIANE DE SOUZA CAMPOS
DEPUTADO DISTRITAL;70222;WESLEY CONCEIO CARVALHO
DEPUTADO DISTRITAL;70022;MARIA ANGLICA BRITO MACHADO
DEPUTADO DISTRITAL;15153;DACIO CORDEIRO ROCHA
DEPUTADO DISTRITAL;15133;GUSTAVO ALMEIDA AIRES
DEPUTADO DISTRITAL;15551;EDSON BATISTA LOPES
SENADOR;131;ERIKA JUC KOKAY
DEPUTADO FEDERAL;5050;FBIO FELIX SILVEIRA
DEPUTADO FEDERAL;1819;LUIZ GUILHERME PENA
DEPUTADO FEDERAL;2523;CINTYA MUNIZ ROCHA DA FONSECA SILVA
DEPUTADO FEDERAL;7707;DIEGO LUCAS DOS REIS COSTA
DEPUTADO FEDERAL;2311;MARIANA DE PAULA MOURA
DEPUTADO FEDERAL;8000;MILENA MARTINS MACHADO MENDES
DEPUTADO FEDERAL;3500;ANTHONY COUTO
DEPUTADO FEDERAL;3535;NOELY DE FTIMA LUIZ DE MORAIS
DEPUTADO FEDERAL;4456;GARDENIA DE FATIMA GONALVES MIRANDA
DEPUTADO FEDERAL;7055;GLAUCIA DE OLIVEIRA BARBOSA SOUTO
DEPUTADO FEDERAL;4007;CARLA MAGALI GEHLEN
DEPUTADO FEDERAL;2770;MILENA DE SOUSA COSTA
GOVERNADOR;11;CELINA LEAO HIZIM FERREIRA
GOVERNADOR;13;LEANDRO ANTNIO GRASS PEIXOTO
DEPUTADO DISTRITAL;18081;LAURIANNE DE MIRANDA GOMES
DEPUTADO DISTRITAL;18180;ROBERTO JULIO FERREIRA
DEPUTADO DISTRITAL;50020;RAYANNE OLIVEIRA FONTENELE VASCONCELOS
DEPUTADO DISTRITAL;30321;LUCIANA MENDINA DE SOUZA MARTNEZ
DEPUTADO DISTRITAL;30777;AILUDE ARAUJO MXIMO DOS SANTOS
DEPUTADO DISTRITAL;14123;EDUARDO DE BARROS SANTOS
DEPUTADO DISTRITAL;35035;MARCEL GUILHERME EIRAS
DEPUTADO DISTRITAL;35444;IGOR DE OLIVEIRA SARAIVA
DEPUTADO DISTRITAL;35000;JANIO FARIAS MARQUES
DEPUTADO DISTRITAL;40800;GUILHERME ALVES CARVALHO
DEPUTADO DISTRITAL;40023;BARTOLOMEU RODRIGUES DA SILVA
DEPUTADO DISTRITAL;40123;FERNANDO ASSIS DE FREITAS
DEPUTADO DISTRITAL;40109;DOUGLAS APARECIDO DA SILVA GOMES
DEPUTADO DISTRITAL;40222;DAYSE AMARILIO DONETTS DINIZ
DEPUTADO DISTRITAL;40567;DENNIS WEBERT NUNES DOS SANTOS
DEPUTADO DISTRITAL;12022;JOSIAS SANTOS LIMA
DEPUTADO DISTRITAL;12110;ANDRE MARCOS PIRES FONTES
DEPUTADO DISTRITAL;12331;SUELI SANTOS
DEPUTADO DISTRITAL;12456;NILVAN PEREIRA DE VASCONCELLOS
DEPUTADO DISTRITAL;10020;GIULIANNO ROLIM CARTAXO
DEPUTADO DISTRITAL;10222;ESTEFANE MOURA SANTOS SAMPAIO
DEPUTADO DISTRITAL;10456;RODRIGO GERMANO DELMASSO MARTINS
DEPUTADO DISTRITAL;10193;ERICSON DIOGENES GOMES
DEPUTADO DISTRITAL;22321;FERNANDO MOREIRA OLIVIERE CAIXETA
DEPUTADO DISTRITAL;22422;JOO RENATO BORGES ABREU
DEPUTADO DISTRITAL;13556;LUZINETE CAMILO DA SILVA
DEPUTADO DISTRITAL;65123;ELIAS SILVA ARAUJO
DEPUTADO DISTRITAL;45190;ADALBERTO FERREIRA DE PAULA CARVALHO
DEPUTADO DISTRITAL;55026;IZADORA SOARES COIMBRA DOS SANTOS
DEPUTADO DISTRITAL;55155;NELSON ALVES PINTO NETO
DEPUTADO DISTRITAL;55200;ANDREIA SALLES DE SOUZA
DEPUTADO DISTRITAL;20022;ALESSANDRO GONCALVES DE ALMEIDA
DEPUTADO DISTRITAL;33355;ALEXANDRE DA SILVA PEREIRA
DEPUTADO DISTRITAL;33323;FRANCIMAR NAVA VILARINDO
DEPUTADO DISTRITAL;33133;GISLAINE APARECIDA SOARES
DEPUTADO DISTRITAL;33222;CARLOS ALBERTO RODRIGUES TABANEZ
DEPUTADO DISTRITAL;44190;LEIBER ALVES DE SOUZA
DEPUTADO DISTRITAL;11022;ANA MARIA DA SILVA
DEPUTADO DISTRITAL;44000;EDUARDO WEYNE PEDROSA
DEPUTADO DISTRITAL;77123;ADERVAL CARLOS DE ANDRADE
DEPUTADO DISTRITAL;77810;CRISTIANE CARVALHO MENDES
DEPUTADO DISTRITAL;70190;CARLOS VICTOR FERNANDES VITORIO
DEPUTADO DISTRITAL;70007;SPARTACUS ISSA SAVITE
DEPUTADO DISTRITAL;70700;LAZARO SANTOS DE PAULA
DEPUTADO DISTRITAL;70999;CAIO GRACCO CAVALCANTI DA CUNHA MONTE
DEPUTADO DISTRITAL;15888;CONCEIO DE MARIA MEIRELES OLIVEIRA
DEPUTADO DISTRITAL;15555;MARCELA MEIRA PASSAMANI
DEPUTADO DISTRITAL;15015;CHRISTIANNO NOGUEIRA ARAUJO
SENADOR;456;PAULO AUGUSTO PIMENTA FELICIO DOS SANTOS
SENADOR;223;BEATRIZ KICIS TORRENTS DE SORDI
SENADOR;700;MARLEY MENDONCA ALVES
SENADOR;555;RONALDO FONSECA DE SOUZA
DEPUTADO FEDERAL;3001;LUIZ XAVIER GAMA
DEPUTADO FEDERAL;5040;RAQUEL FERREIRA
DEPUTADO FEDERAL;1818;ELIANILDO DA SILVA NASCIMENTO
DEPUTADO FEDERAL;7778;MAX SAMUEL ANDRADE
DEPUTADO FEDERAL;2026;JORGE LUIZ DA CRUZ SILVA
DEPUTADO FEDERAL;2000;ISMAEL MOTA GOMES DE ALMEIDA
DEPUTADO FEDERAL;2022;KLESLEY GARCIA SOARES
DEPUTADO FEDERAL;1444;LUCAS BRASILEIRO CESAR LEITAO
DEPUTADO FEDERAL;3300;ANTONIO RILDO PEREIRA SIRIANO
DEPUTADO FEDERAL;3344;JULIANA ALVES SERPA
DEPUTADO FEDERAL;3333;RITA OLVIDO GOYZUETA BALLOCK
DEPUTADO FEDERAL;4522;CARLOS FELIPE RODRIGUES DE OLIVEIRA
DEPUTADO FEDERAL;4567;FLAVIA HELENA PORTELA DE CARVALHO
DEPUTADO FEDERAL;4543;EROTIDES SOUZA DE ALMEIDA JUNIOR
DEPUTADO FEDERAL;1233;MOACIR ROSA DA SILVA
DEPUTADO FEDERAL;1212;FLAVIO WERNECK MENEGUELLI
DEPUTADO FEDERAL;2200;IZALCI LUCAS FERREIRA
DEPUTADO FEDERAL;2238;DAVI LIMA SOUSA
DEPUTADO FEDERAL;1313;ROBERTO POLICARPO FAGUNDES
DEPUTADO FEDERAL;4411;CARLOS DALVAN SOARES DE OLIVEIRA
DEPUTADO FEDERAL;1190;ELZIOVAN MATIAS MORENO LIMA
DEPUTADO FEDERAL;7077;JUSCELINO KUBITSCHEK DE OLIVEIRA
DEPUTADO FEDERAL;5544;JOAO LUIZ ARANTES DE FREITAS
DEPUTADO FEDERAL;5545;ELIOMAR RODRIGUES DE SOUZA
DEPUTADO FEDERAL;5561;RONALDO FONSECA DE SOUZA
DEPUTADO FEDERAL;4022;DANIELA DA SILVA NUNES
DEPUTADO FEDERAL;2712;LEONARDO DINIZ DA SILVEIRA
DEPUTADO FEDERAL;1551;JOSIANE ALVES JACOB SABOIA
DEPUTADO FEDERAL;1516;JOSE RODRIGUES COSTA NETO
GOVERNADOR;45;PAULA MORENO PARO BELMONTE
DEPUTADO DISTRITAL;18018;ANGELINA NARDELLI QUAGLIA BEROTT
DEPUTADO DISTRITAL;50050;PATRICIA RAMIRO SILVA SOUZA
DEPUTADO DISTRITAL;50777;ROMARIO LEAL LOBO
DEPUTADO DISTRITAL;18222;SAMI MARTINS YASSINE
DEPUTADO DISTRITAL;50100;MAX MACIEL CAVALCANTI
DEPUTADO DISTRITAL;50444;ABEL RODRIGUES DOS SANTOS
DEPUTADO DISTRITAL;30100;ERICKA SIQUEIRA NOGUEIRA FILIPPELLI
DEPUTADO DISTRITAL;30530;FERNANDA CAROLINA FRANA
DEPUTADO DISTRITAL;30500;DAIANE BISPO DOS SANTOS
DEPUTADO DISTRITAL;30555;TANIA MARIA SOSTER SANTOS
DEPUTADO DISTRITAL;30026;ATENA OLIVEIRA ZATARIN
DEPUTADO DISTRITAL;30030;KLEBER VINCIUS BEZERRA CAMELO DE MELO
DEPUTADO DISTRITAL;14014;ARTHUR GURGEL FREIRE SANTOS
DEPUTADO DISTRITAL;27555;MARIA SONEIDE DOS SANTOS FERREIRA
DEPUTADO DISTRITAL;27999;RACHEL PINHEIRO DE OLIVEIRA DA SILVA
DEPUTADO DISTRITAL;27190;NEVITON PEREIRA JUNIOR
DEPUTADO DISTRITAL;27012;WELDO GONALVES DA SILVA AMORIM
DEPUTADO DISTRITAL;27022;DARIONE DE MELO SILVA
DEPUTADO DISTRITAL;35192;JORGE VIANA DE SOUSA
DEPUTADO DISTRITAL;35133;DIONES AMORIM DE ALMEIDA
DEPUTADO DISTRITAL;35111;MANOEL ARCANJO NETO DE MAGALHAES
DEPUTADO DISTRITAL;40044;ROSELENE BEZERRA EVANGELISTA
DEPUTADO DISTRITAL;12101;SIDNEY PEREIRA BATISTA
DEPUTADO DISTRITAL;12222;MARIA WEILA COLHO ALMEIDA
DEPUTADO DISTRITAL;10022;RAIMUNDO PACHECO DE PINHO
DEPUTADO DISTRITAL;10100;RENATO ANDRADE DOS SANTOS
DEPUTADO DISTRITAL;10000;MARCELO FERREIRA DA SILVA
DEPUTADO DISTRITAL;10555;JANE KLEBIA DO NASCIMENTO SILVA
DEPUTADO DISTRITAL;22777;MARCELO IZIDORO VIEIRA
DEPUTADO DISTRITAL;22222;CARLOS EDUARDO ANTUNES TRRES
DEPUTADO DISTRITAL;13123;JOS ROBERTO MELO MACHADO
DEPUTADO DISTRITAL;13007;FABIANO E SILVA LEITO DUARTE
DEPUTADO DISTRITAL;45155;CLEA TORRES DA SILVA
DEPUTADO DISTRITAL;45678;JAMES MAYNER SILVA
DEPUTADO DISTRITAL;45013;GUSTAVO VITORIA SALES
DEPUTADO DISTRITAL;45100;JULIANA CANDIDA PEREIRA
DEPUTADO DISTRITAL;45888;ALZIRENIO CUNHA CARVALHO
DEPUTADO DISTRITAL;55888;CLEBER LUIZ GREGORINO BARRETO
DEPUTADO DISTRITAL;55255;JADIEL DE ARAUJO SANTOS
DEPUTADO DISTRITAL;55190;LUSIMAR TORRES ARRUDA
DEPUTADO DISTRITAL;55055;ALESSANDRO DE SANT ANNA CARDOSO
DEPUTADO DISTRITAL;20456;CLEIDIANE VITALINO PEREIRA DA SILVA
DEPUTADO DISTRITAL;80123;CHRISTIAN RODRIGUES SENA
DEPUTADO DISTRITAL;33033;VERTON MOTA RESENDE
DEPUTADO DISTRITAL;33333;NUCHE MENINO FIGUEIREDO DE CAMARGO
DEPUTADO DISTRITAL;33192;WENDEL ANTONIO ALVES MOREIRA
DEPUTADO DISTRITAL;11133;DANIEL DE CASTRO SOUSA
DEPUTADO DISTRITAL;11410;IDAIANO IURI MARQUES DOS SANTOS
DEPUTADO DISTRITAL;11122;VIRGILIO DO REGO MONTEIRO NETO
DEPUTADO DISTRITAL;25190;ANDR DA COSTA GOUVEIA
DEPUTADO DISTRITAL;77330;ELIZALDA BARBOSA DIAS
DEPUTADO DISTRITAL;77277;JOSE ROBERTO DA SILVA
DEPUTADO DISTRITAL;70193;RENATO SILVEIRA BARBOSA
DEPUTADO DISTRITAL;70333;GILBERTO ELIAZARIO DE CAMARGOS
DEPUTADO DISTRITAL;70123;WILSON DO NASCIMENTO ARAUJO
DEPUTADO DISTRITAL;70100;GABRIELA CASTRO FREIRE
DEPUTADO DISTRITAL;70456;CLEMILTON SARAIVA DOS SANTOS
DEPUTADO DISTRITAL;15000;IOLANDO ALMEIDA DE SOUZA
DEPUTADO DISTRITAL;15100;SAMARA DOS SANTOS BRITO NEVES
DEPUTADO DISTRITAL;15190;JOAO HERMETO DE OLIVEIRA NETO
DEPUTADO DISTRITAL;15123;WELLINGTON LUIZ DE SOUZA SILVA
DEPUTADO DISTRITAL;15444;GELCEMNIA PEREIRA DOS ANJOS
SENADOR;355;AVENIR ANGELO ROSA FILHO
SENADOR;300;SEBASTIAO COELHO DA SILVA
SENADOR;800;GUILHERME DE AMORIM LINO
SENADOR;161;EDUARDO RENN ZANATA
SENADOR;360;TIAGO TRSIS ADALDO
SENADOR;123;LEILA GOMES DE BARROS RGO
DEPUTADO FEDERAL;1088;MATHEUS MAYER MILANEZ
DEPUTADO FEDERAL;4566;LEIA PEREIRA XAVIER
DEPUTADO FEDERAL;4577;ELAINE DE OLIVEIRA BARBOSA
DEPUTADO FEDERAL;8080;LEONARDO BEZERRA COELHO
DEPUTADO FEDERAL;1270;LARISSA SCHMIDT
DEPUTADO FEDERAL;2201;MARIANA FIUZA TAVEIRA ADORNO NAIME
DEPUTADO FEDERAL;3590;JOSE FRANCISCO DE LIMA NETO
DEPUTADO FEDERAL;3535;LAIRA DOS SANTOS INCIO
DEPUTADO FEDERAL;4400;RODRIGO FRANCELINO ALVES
DEPUTADO FEDERAL;3600;ELIENE MARTINS DA SILVA
DEPUTADO FEDERAL;3636;JACILDO PEREIRA DA SILVA
DEPUTADO FEDERAL;2755;RONON PINHEIRO DA CRUZ
DEPUTADO FEDERAL;1501;WESLEY AMARAL DA SILVA
GOVERNADOR;28;ALDERICO DA SILVA PINHEIRO FILHO
GOVERNADOR;29;EXPEDITO CARNEIRO DE MENDONA
GOVERNADOR;16;ROBSON RAYMUNDO DA SILVA
DEPUTADO DISTRITAL;50180;NATHALIA VIEIRA SOUZA SILVA
DEPUTADO DISTRITAL;18000;ELAINY TOGOJEBADO DE MATOS PONTES
DEPUTADO DISTRITAL;50200;EDENILSON BERNARDO DE MELO
DEPUTADO DISTRITAL;50133;EDISON PINTO DE OLIVEIRA
DEPUTADO DISTRITAL;30111;PETRUS LEONARDO BARRON SANCHEZ
DEPUTADO DISTRITAL;27222;ALEXANDRE ELIAS DE OLIVEIRA
DEPUTADO DISTRITAL;27127;CARLOS PEREIRA XAVIER
DEPUTADO DISTRITAL;35777;JULIO CESAR D ELIA RIEDER
DEPUTADO DISTRITAL;35222;KEVIN WILIAN SOUSA DE OLIVEIRA
DEPUTADO DISTRITAL;35123;ROBRIO DE OLIVEIRA MELO JUNIOR
DEPUTADO DISTRITAL;40400;RODRIGO OLIVEIRA DE CASTRO DIAS
DEPUTADO DISTRITAL;40420;PABLO FEITOSA NUNES AMORIM
DEPUTADO DISTRITAL;12105;PAULO CAMPELO DE MIRANDA
DEPUTADO DISTRITAL;12112;JAIR GOMES DE ALMEIDA
DEPUTADO DISTRITAL;12012;CRISTIANO LUZ DA SILVA PINTO
DEPUTADO DISTRITAL;12777;ALINE S CAVALCANTI
DEPUTADO DISTRITAL;10101;DANIEL FONSECA E CONDE
DEPUTADO DISTRITAL;10505;EMANUEL SOARES DA SILVA ALVES
DEPUTADO DISTRITAL;10026;FRANCISCO JOELIO RODRIGUES DA SILVA
DEPUTADO DISTRITAL;22193;ROOSEVELT VILELA PIRES
DEPUTADO DISTRITAL;22555;HAMILTON TEIXEIRA DOS SANTOS
DEPUTADO DISTRITAL;22322;VICTOR JANSEN FERREIRA
DEPUTADO DISTRITAL;13193;LAUREANO DE FARIA RODRIGUES
DEPUTADO DISTRITAL;65180;BERENICE DARC JACINTO
DEPUTADO DISTRITAL;13613;KEILA LIMA SANCHES
DEPUTADO DISTRITAL;13333;MARIANA ROSA MOREIRA DOS SANTOS
DEPUTADO DISTRITAL;45045;DATANIEL SILVA DUARTE
DEPUTADO DISTRITAL;45000;CARLOS PENNA BRESCIANINI
DEPUTADO DISTRITAL;55222;MAURICIO TOMAZ DA SILVA
DEPUTADO DISTRITAL;55333;CARLOS WAGNER PEREIRA DE S
DEPUTADO DISTRITAL;20122;MICHELLO BUENO GONCALVES OLIVEIRA
DEPUTADO DISTRITAL;20555;ELIANA FERREIRA EMERICK
DEPUTADO DISTRITAL;20777;NATAL WELLINGTON RODRIGUES FURUCHO
DEPUTADO DISTRITAL;20100;ALEX DE OLIVEIRA GALVAO
DEPUTADO DISTRITAL;80110;BRBARA VICENTE CALISTA
DEPUTADO DISTRITAL;33337;FRANCISCA JUSCICLEIA ARAUJO BRITO
DEPUTADO DISTRITAL;33123;REGINALDO ROCHA SARDINHA GOES
DEPUTADO DISTRITAL;33456;ITALO DA SILVA MIRANDA
DEPUTADO DISTRITAL;33789;PEDRO ANTONIO DOS SANTOS
DEPUTADO DISTRITAL;11111;RONEY TANIOS NEMER
DEPUTADO DISTRITAL;11777;MARCELO DE SOUZA NUNES GOIS
DEPUTADO DISTRITAL;11010;LEONARDO ROBERTO SOARES CARVALHO CAVALCANTE
DEPUTADO DISTRITAL;44555;PEDRO HENRIQUE VIEGAS DE OLIVEIRA
DEPUTADO DISTRITAL;77777;EDEM ALEXANDRE BARBOSA
DEPUTADO DISTRITAL;25000;JOAO LEAL NETO
DEPUTADO DISTRITAL;70777;ANDERSON FERREIRA
DEPUTADO DISTRITAL;70122;HLIO GOMES DA SILVA
DEPUTADO DISTRITAL;70000;DANIEL DE SOUSA OLIVEIRA
DEPUTADO DISTRITAL;70870;MARILANIA TEIXEIRA
DEPUTADO DISTRITAL;15166;JOSE ALENCAR DE MESQUITA
SENADOR;222;MICHELLE DE PAULA FIRMO REINALDO BOLSONARO
DEPUTADO FEDERAL;3004;FLAVIO HENRIQUE TORMINN FLEURY
DEPUTADO FEDERAL;3022;ALESSANDRA ALMEIDA CHIANELLI DUTRA
DEPUTADO FEDERAL;1022;CRISTIANE RODRIGUES BRITTO
DEPUTADO FEDERAL;1000;LUIZ EDUARDO MARTINS SANTANA
DEPUTADO FEDERAL;1015;RAVAN ALVES SANTOS
DEPUTADO FEDERAL;5080;KARINE RODRIGUES AFONSECA
DEPUTADO FEDERAL;1411;ALVARO FERNANDO PASCOTTO MOZINI
DEPUTADO FEDERAL;4510;GERALDO NAVES FILHO
DEPUTADO FEDERAL;1221;JOANISA VIEIRA DE ABREU BARROSO
DEPUTADO FEDERAL;1214;PAULO ROBERTO CORREA TAVARES
DEPUTADO FEDERAL;2233;THIAGO DE ARAUJO MACIEIRA MANZONI
DEPUTADO FEDERAL;1300;MARIVALDO DE CASTRO PEREIRA
DEPUTADO FEDERAL;1361;ERIVAN HILARIO DOS SANTOS
DEPUTADO FEDERAL;2999;ANA SCHRAMM
DEPUTADO FEDERAL;3550;LEANDRO PEREIRA SANCHES GOMES
DEPUTADO FEDERAL;4455;ESTER CARVALHO DOS SANTOS
DEPUTADO FEDERAL;1117;MARINA ALVES NORONHA
DEPUTADO FEDERAL;1111;VALDIRENE TAVARES DOS SANTOS
DEPUTADO FEDERAL;7033;ANA LIMA VIANA FILHA
DEPUTADO FEDERAL;4000;RAQUEL FERNANDES MEDEIROS
DEPUTADO FEDERAL;4061;WENDER CLSTENES DE MORAIS SOARES
DEPUTADO FEDERAL;4023;CRISTOVAM RICARDO CAVALCANTI BUARQUE
